seed,dataset_pair,target_f1
unknown,computers_watches,0.7209091186523438
unknown,computers_watches,0.7581818103790283
unknown,watches_computers,0.8081817626953125
unknown,watches_computers,0.7981818318367004
unknown,computers_watches,0.7154545187950134
unknown,computers_watches,0.7190908789634705
unknown,watches_computers,0.7954545617103577
unknown,watches_computers,0.7909091114997864
unknown,computers_watches,0.7336363196372986
unknown,computers_watches,0.7445454597473145
unknown,watches_computers,0.778181791305542
unknown,watches_computers,0.778181791305542
unknown,cameras_watches,0.7590909600257874
unknown,cameras_watches,0.7599999904632568
unknown,watches_cameras,0.8218181729316711
unknown,watches_cameras,0.8190908432006836
unknown,cameras_watches,0.7172726988792419
unknown,cameras_watches,0.7163636088371277
unknown,watches_cameras,0.8527272939682007
unknown,watches_cameras,0.8199999928474426
unknown,cameras_watches,0.6636363863945007
unknown,cameras_watches,0.6854545474052429
unknown,watches_cameras,0.8127272725105286
unknown,watches_cameras,0.8181818127632141
unknown,shoes_watches,0.7199999690055847
unknown,shoes_watches,0.725454568862915
unknown,watches_shoes,0.7863636612892151
unknown,watches_shoes,0.7699999809265137
unknown,shoes_watches,0.7154545187950134
unknown,shoes_watches,0.725454568862915
unknown,watches_shoes,0.7436363101005554
unknown,watches_shoes,0.7090908885002136
unknown,shoes_watches,0.7472727298736572
unknown,shoes_watches,0.7490909099578857
unknown,watches_shoes,0.7199999690055847
unknown,watches_shoes,0.7227272987365723
unknown,computers_shoes,0.6854545474052429
unknown,computers_shoes,0.6936363577842712
unknown,shoes_computers,0.7445454597473145
unknown,shoes_computers,0.7409091591835022
unknown,computers_shoes,0.6654545664787292
unknown,computers_shoes,0.6727272868156433
unknown,shoes_computers,0.7727272510528564
unknown,shoes_computers,0.775454580783844
unknown,computers_shoes,0.6672727465629578
unknown,computers_shoes,0.6736363768577576
unknown,shoes_computers,0.7590909600257874
unknown,shoes_computers,0.756363570690155
unknown,cameras_shoes,0.6990908980369568
unknown,cameras_shoes,0.6990908980369568
unknown,shoes_cameras,0.8445454835891724
unknown,shoes_cameras,0.8500000238418579
unknown,cameras_shoes,0.6899999976158142
unknown,cameras_shoes,0.6890909075737
unknown,shoes_cameras,0.8063636422157288
unknown,shoes_cameras,0.8054545521736145
unknown,cameras_shoes,0.6418181657791138
unknown,cameras_shoes,0.6618182063102722
unknown,shoes_cameras,0.8290908932685852
unknown,shoes_cameras,0.8336363434791565
unknown,computers_cameras,0.7827273011207581
unknown,computers_cameras,0.8245454430580139
unknown,cameras_computers,0.6945454478263855
unknown,cameras_computers,0.7081817984580994
unknown,computers_cameras,0.7163636088371277
unknown,computers_cameras,0.7199999690055847
unknown,cameras_computers,0.728181779384613
unknown,cameras_computers,0.75
unknown,computers_cameras,0.6918181777000427
unknown,computers_cameras,0.6972727179527283
unknown,cameras_computers,0.6899999976158142
unknown,cameras_computers,0.699999988079071
---,,
1729,unknown,0.869519829750061
1729,unknown,0.900313138961792
1729,wa1_ab,0.869519829750061
1729,wa1_ab,0.900313138961792
---,,
1729,wa1_ab,0.869519829750061
1729,wa1_ab,0.900313138961792
100,wa1_ab,0.8689979314804077
100,wa1_ab,0.8867431879043579
1000,wa1_ab,0.8763048052787781
1000,wa1_ab,0.894050121307373
1729,ab_wa1,0.8147181868553162
1729,ab_wa1,0.8549060821533203
100,ab_wa1,0.8021920919418335
100,ab_wa1,0.8105428218841553
1000,ab_wa1,0.7854906320571899
1000,ab_wa1,0.7896659970283508
1729,ds_da,0.977355420589447
1729,ds_da,0.977355420589447
100,ds_da,0.973716139793396
100,ds_da,0.9741204977035522
1000,ds_da,0.9745248556137084
1000,ds_da,0.975737988948822
1729,da_ds,0.9231702089309692
1729,da_ds,0.9231702089309692
100,da_ds,0.9134654402732848
100,da_ds,0.9118479490280152
1000,da_ds,0.9179134368896484
1000,da_ds,0.9142741560935974
1729,dzy_fz,0.994413435459137
1729,dzy_fz,0.994413435459137
100,dzy_fz,0.9888268113136292
100,dzy_fz,0.9888268113136292
1000,dzy_fz,0.9888268113136292
1000,dzy_fz,0.9888268113136292
1729,fz_dzy,0.8882681727409363
1729,fz_dzy,0.9050279259681702
100,fz_dzy,0.910614550113678
100,fz_dzy,0.9050279259681702
1000,fz_dzy,0.8994413614273071
1000,fz_dzy,0.8435754179954529
1729,ri_ab,0.574999988079071
1729,ri_ab,0.6166666746139526
100,ri_ab,0.675000011920929
100,ri_ab,0.699999988079071
1000,ri_ab,0.4583333432674408
1000,ri_ab,0.5083333253860474
1729,ab_ri,0.6833333373069763
1729,ab_ri,0.6833333373069763
100,ab_ri,0.6833333373069763
100,ab_ri,0.6833333373069763
1000,ab_ri,0.6833333373069763
1000,ab_ri,0.6833333373069763
1729,ri_wa1,0.6416666507720947
1729,ri_wa1,0.6416666507720947
100,ri_wa1,0.6833333373069763
100,ri_wa1,0.6833333373069763
1000,ri_wa1,0.4916666746139526
1000,ri_wa1,0.5249999761581421
1729,wa1_ri,0.6833333373069763
1729,wa1_ri,0.6833333373069763
100,wa1_ri,0.6833333373069763
100,wa1_ri,0.6833333373069763
1000,wa1_ri,0.6833333373069763
1000,wa1_ri,0.6833333373069763
1729,ia_da,0.8899082541465759
1729,ia_da,0.8899082541465759
100,ia_da,0.9266055226325988
100,ia_da,0.9266055226325988
1000,ia_da,0.9174312353134156
1000,ia_da,0.9082568883895874
1729,da_ia,0.7064220309257507
1729,da_ia,0.6972476840019226
100,da_ia,0.6972476840019226
100,da_ia,0.6972476840019226
1000,da_ia,0.7064220309257507
1000,da_ia,0.7064220309257507
1729,ia_ds,0.9449541568756104
1729,ia_ds,0.9541284441947936
100,ia_ds,0.8623853921890259
100,ia_ds,0.8165137767791748
1000,ia_ds,0.78899085521698
1000,ia_ds,0.7339449524879456
1729,ds_ia,0.6788991093635559
1729,ds_ia,0.7064220309257507
100,ds_ia,0.5779816508293152
100,ds_ia,0.6238532066345215
1000,ds_ia,0.6880733966827393
1000,ds_ia,0.7064220309257507
1729,b2_fz,0.975000023841858
1729,b2_fz,0.975000023841858
100,b2_fz,0.987500011920929
100,b2_fz,0.987500011920929
1000,b2_fz,0.987500011920929
1000,b2_fz,0.987500011920929
1729,fz_b2,0.862500011920929
1729,fz_b2,0.7749999761581421
100,fz_b2,0.8500000238418579
100,fz_b2,0.824999988079071
1000,fz_b2,0.8500000238418579
1000,fz_b2,0.7749999761581421
1729,b2_dzy,0.925000011920929
1729,b2_dzy,0.9124999642372132
100,b2_dzy,0.8999999761581421
100,b2_dzy,0.887499988079071
1000,b2_dzy,0.949999988079071
1000,b2_dzy,0.9375
1729,dzy_b2,0.8374999165534973
1729,dzy_b2,0.75
100,dzy_b2,0.8374999165534973
100,dzy_b2,0.699999988079071
1000,dzy_b2,0.7749999761581421
1000,dzy_b2,0.7749999761581421
